order_id,order_date,shift,channel,item_count,cancelled,issue_code,accept_min,prep_min,handover_min,wait_minutes,within_target
ORD-00060,2026-09-07,breakfast,counter,2,0,,1.51,14.19,2.59,18.29,0
ORD-00061,2026-09-07,breakfast,app,2,0,,0.8,6.29,1.35,8.44,1
ORD-00062,2026-09-07,breakfast,app,1,0,,0.26,7.72,2.31,10.29,1
ORD-00063,2026-09-07,breakfast,app,4,0,,2.19,11.15,3.71,17.05,0
ORD-00064,2026-09-07,breakfast,counter,3,0,,0.77,7.88,0.81,9.46,1
ORD-00065,2026-09-07,breakfast,counter,4,0,,2.05,9.35,1.02,12.41,0
ORD-00066,2026-09-07,breakfast,counter,4,0,,0.73,10.05,1.85,12.64,0
ORD-00067,2026-09-07,breakfast,counter,3,0,,1.55,11.27,2.06,14.87,0
ORD-00068,2026-09-07,breakfast,counter,1,0,kitchen_rework,0.42,20.36,0.67,21.45,0
ORD-00069,2026-09-07,breakfast,counter,4,0,stockout,1.16,6.11,2.78,10.05,1
ORD-00070,2026-09-07,breakfast,app,1,0,,0.51,6.54,0.93,7.98,1
ORD-00071,2026-09-07,breakfast,counter,4,0,,0.4,7.65,2.7,10.74,1
ORD-00072,2026-09-07,breakfast,counter,1,0,,1.13,7.93,0.3,9.36,1
ORD-00073,2026-09-07,breakfast,app,2,0,,2.45,3.8,2.07,8.32,1
ORD-00074,2026-09-07,breakfast,counter,1,0,,1.53,4.86,1.68,8.06,1
ORD-00075,2026-09-07,breakfast,counter,3,0,,1.75,13.44,0.95,16.14,0
ORD-00076,2026-09-07,breakfast,counter,3,0,,0.96,16.62,3.01,20.6,0
ORD-00077,2026-09-07,breakfast,app,2,0,,0.41,11.74,1.39,13.54,0
ORD-00078,2026-09-07,breakfast,app,1,0,,0.81,4.6,1.39,6.8,1
ORD-00079,2026-09-07,breakfast,app,1,0,,0.38,5.98,1.96,8.31,1
ORD-00080,2026-09-07,breakfast,counter,1,0,,0.89,11.08,0.83,12.8,0
ORD-00081,2026-09-07,breakfast,app,1,0,,1.51,14.04,2.47,18.02,0
ORD-00082,2026-09-07,breakfast,counter,1,0,stockout,1.37,11.02,0.37,12.75,0
ORD-00083,2026-09-07,breakfast,app,3,0,,0.45,11.6,1.84,13.9,0
ORD-00084,2026-09-07,breakfast,app,4,0,,0.55,3.93,3.72,8.19,1
ORD-00085,2026-09-07,breakfast,app,1,0,kitchen_rework,0.83,22.95,2.22,26.0,0
ORD-00086,2026-09-07,lunch,counter,3,0,payment,0.5,4.74,0.83,6.06,1
ORD-00087,2026-09-07,lunch,counter,2,0,,0.71,9.88,1.92,12.51,0
ORD-00088,2026-09-07,lunch,app,2,0,,2.04,8.8,3.41,14.25,0
ORD-00089,2026-09-07,lunch,app,1,0,,1.37,11.44,1.42,14.23,0
ORD-00090,2026-09-07,lunch,counter,4,0,,0.46,7.47,1.03,8.96,1
ORD-00091,2026-09-07,lunch,app,3,0,kitchen_rework,0.65,13.65,0.3,14.6,0
ORD-00092,2026-09-07,lunch,counter,3,0,,1.37,11.95,2.54,15.86,0
ORD-00093,2026-09-07,lunch,counter,1,0,,1.12,6.88,1.67,9.67,1
ORD-00094,2026-09-07,lunch,app,4,0,,1.52,7.83,1.67,11.03,1
ORD-00095,2026-09-07,lunch,app,4,0,,0.88,4.76,0.88,6.51,1
ORD-00096,2026-09-07,lunch,app,4,0,stockout,1.57,12.78,1.53,15.87,0
ORD-00097,2026-09-07,lunch,counter,1,0,,1.23,9.19,2.67,13.1,0
ORD-00098,2026-09-07,lunch,counter,3,0,,0.8,2.38,2.98,6.15,1
ORD-00099,2026-09-07,lunch,app,4,0,,1.07,4.46,3.05,8.57,1
ORD-00100,2026-09-07,lunch,counter,3,0,,0.93,2.02,0.54,3.5,1
ORD-00101,2026-09-07,lunch,counter,3,0,,0.53,7.47,1.76,9.77,1
ORD-00102,2026-09-07,lunch,counter,1,0,,0.89,9.65,0.52,11.05,1
ORD-00103,2026-09-07,lunch,app,3,0,,1.03,7.02,1.1,9.15,1
ORD-00104,2026-09-07,lunch,counter,2,0,,0.86,9.83,3.59,14.28,0
ORD-00105,2026-09-07,lunch,counter,4,0,stockout,0.6,3.83,1.29,5.72,1
ORD-00106,2026-09-07,lunch,app,1,0,,0.34,3.37,0.3,4.01,1
ORD-00107,2026-09-07,lunch,app,4,0,,1.95,8.72,2.33,13.0,0
ORD-00108,2026-09-07,lunch,app,2,0,,1.1,9.27,2.13,12.5,0
ORD-00109,2026-09-07,lunch,counter,3,0,,0.41,5.95,1.21,7.58,1
ORD-00110,2026-09-07,lunch,app,1,0,,0.98,8.65,1.85,11.48,1
ORD-00111,2026-09-07,lunch,app,3,0,,1.08,11.76,3.16,15.99,0
ORD-00112,2026-09-07,lunch,app,1,0,,1.58,6.87,0.3,8.75,1
ORD-00113,2026-09-07,lunch,counter,1,0,,1.73,11.58,2.6,15.91,0
ORD-00114,2026-09-07,lunch,app,2,0,,1.61,10.95,3.47,16.03,0
ORD-00115,2026-09-07,lunch,app,3,0,,0.72,4.34,1.79,6.86,1
ORD-00116,2026-09-07,lunch,app,3,0,,0.2,9.94,2.52,12.66,0
ORD-00117,2026-09-07,lunch,app,3,0,,1.14,7.02,1.18,9.34,1
ORD-00118,2026-09-07,lunch,counter,1,0,,1.36,8.67,3.55,13.57,0
ORD-00119,2026-09-07,lunch,app,2,0,,1.29,5.66,2.11,9.07,1
ORD-00120,2026-09-07,lunch,app,2,0,,1.66,6.53,2.1,10.29,1
ORD-00121,2026-09-07,lunch,counter,2,0,,1.47,2.29,1.01,4.77,1
ORD-00122,2026-09-07,lunch,app,2,0,,1.28,12.97,2.37,16.62,0
ORD-00123,2026-09-07,lunch,counter,4,0,,0.31,12.05,2.54,14.9,0
ORD-00124,2026-09-07,lunch,counter,2,0,,0.7,5.37,1.42,7.49,1
ORD-00125,2026-09-07,lunch,app,4,0,,1.25,10.66,1.68,13.59,0
ORD-00126,2026-09-07,lunch,counter,3,0,,0.78,8.26,1.74,10.79,1
ORD-00127,2026-09-07,lunch,counter,2,0,,0.94,6.71,0.76,8.41,1
ORD-00128,2026-09-07,lunch,counter,4,0,,1.38,9.41,0.68,11.47,1
ORD-00129,2026-09-07,lunch,counter,1,0,,0.62,8.59,2.05,11.27,1
ORD-00130,2026-09-07,lunch,counter,3,0,,0.95,9.06,1.97,11.97,1
ORD-00131,2026-09-07,lunch,counter,2,0,,1.66,9.49,1.25,12.4,0
ORD-00132,2026-09-07,lunch,app,1,0,,1.5,6.16,1.22,8.88,1
ORD-00133,2026-09-07,lunch,counter,4,0,,1.02,11.1,2.35,14.48,0
ORD-00134,2026-09-07,lunch,app,4,0,,0.82,10.45,1.35,12.61,0
ORD-00135,2026-09-07,lunch,counter,3,0,,0.23,6.4,1.64,8.27,1
ORD-00136,2026-09-07,lunch,app,4,0,,1.82,10.95,1.88,14.65,0
ORD-00137,2026-09-07,lunch,counter,2,0,,0.83,13.74,3.08,17.65,0
ORD-00138,2026-09-07,lunch,app,2,0,,1.77,7.75,1.8,11.32,1
ORD-00139,2026-09-07,lunch,counter,2,0,,2.09,9.86,0.3,12.25,0
ORD-00140,2026-09-07,lunch,app,1,0,,1.75,7.69,1.56,11.0,1
ORD-00141,2026-09-07,lunch,counter,4,0,,1.16,3.03,0.51,4.7,1
ORD-00142,2026-09-07,lunch,counter,1,0,,1.5,9.52,2.33,13.35,0
ORD-00143,2026-09-07,lunch,counter,3,0,,1.21,10.34,2.18,13.73,0
ORD-00144,2026-09-07,lunch,counter,2,0,,0.97,5.74,3.22,9.93,1
ORD-00145,2026-09-07,lunch,app,2,0,,0.56,6.33,0.93,7.82,1
ORD-00146,2026-09-07,lunch,counter,1,0,,1.83,10.66,2.25,14.75,0
ORD-00147,2026-09-07,lunch,counter,1,0,stockout,1.63,10.33,1.89,13.85,0
ORD-00148,2026-09-07,lunch,counter,3,0,,1.06,12.53,0.3,13.89,0
ORD-00149,2026-09-07,lunch,counter,1,0,stockout,1.25,5.75,1.19,8.19,1
ORD-00150,2026-09-07,lunch,app,3,0,,1.51,9.12,2.95,13.59,0
ORD-00151,2026-09-07,lunch,counter,1,0,,0.27,7.76,0.3,8.33,1
ORD-00152,2026-09-07,lunch,counter,3,0,,1.92,12.11,2.02,16.05,0
ORD-00153,2026-09-07,lunch,app,1,0,,0.2,9.11,2.23,11.54,1
ORD-00154,2026-09-07,lunch,app,2,0,,1.04,6.75,1.16,8.95,1
ORD-00155,2026-09-07,lunch,counter,1,0,,0.55,9.41,2.17,12.13,0
ORD-00156,2026-09-07,lunch,counter,3,0,,0.2,5.72,1.32,7.24,1
ORD-00157,2026-09-07,lunch,app,4,0,,0.2,5.32,2.3,7.82,1
ORD-00158,2026-09-07,lunch,app,1,0,,0.58,4.18,1.04,5.8,1
ORD-00159,2026-09-07,lunch,app,4,0,,0.88,9.88,0.93,11.68,1
ORD-00160,2026-09-07,lunch,app,1,0,,1.43,8.13,2.17,11.73,1
ORD-00161,2026-09-07,lunch,app,1,0,,1.29,3.73,0.32,5.35,1
ORD-00162,2026-09-07,lunch,counter,1,0,,0.99,5.18,1.11,7.27,1
ORD-00163,2026-09-07,lunch,counter,1,0,payment,0.82,6.73,0.3,7.84,1
ORD-00164,2026-09-07,lunch,counter,3,0,,0.32,5.86,1.84,8.02,1
ORD-00165,2026-09-07,lunch,counter,3,0,,1.55,10.77,2.17,14.49,0
ORD-00166,2026-09-07,lunch,app,3,0,,0.5,7.23,1.15,8.89,1
ORD-00167,2026-09-07,lunch,app,1,0,,0.81,8.44,1.91,11.16,1
ORD-00168,2026-09-07,lunch,counter,4,0,,1.38,4.67,0.5,6.54,1
ORD-00169,2026-09-07,lunch,app,2,0,,0.76,10.45,1.21,12.42,0
ORD-00170,2026-09-07,lunch,counter,4,0,,1.5,9.43,3.09,14.02,0
ORD-00171,2026-09-07,lunch,app,3,0,,1.08,4.15,0.8,6.03,1
ORD-00172,2026-09-07,lunch,counter,4,0,,1.15,9.45,2.3,12.89,0
ORD-00173,2026-09-07,lunch,app,2,0,,0.2,8.23,0.78,9.21,1
ORD-00174,2026-09-07,lunch,app,1,0,,0.79,8.76,0.84,10.4,1
ORD-00175,2026-09-07,lunch,app,3,0,,0.87,7.1,1.95,9.92,1
ORD-00176,2026-09-07,lunch,app,2,0,kitchen_rework,0.61,18.48,2.39,21.48,0
ORD-00177,2026-09-07,lunch,app,2,0,,1.0,7.6,1.89,10.48,1
ORD-00178,2026-09-07,lunch,counter,2,0,,1.38,13.16,1.48,16.02,0
ORD-00179,2026-09-07,lunch,app,1,0,,0.78,6.18,1.52,8.48,1
ORD-00180,2026-09-07,lunch,app,1,0,,0.57,12.02,0.8,13.4,0
ORD-00181,2026-09-07,lunch,counter,3,0,kitchen_rework,0.67,14.85,1.17,16.69,0
ORD-00182,2026-09-07,lunch,counter,1,0,,1.35,10.7,2.75,14.79,0
ORD-00183,2026-09-07,lunch,counter,4,1,payment,1.4,8.97,,,
ORD-00184,2026-09-07,lunch,counter,1,0,,1.32,5.1,0.3,6.72,1
ORD-00185,2026-09-07,lunch,app,1,0,,1.57,9.13,1.01,11.71,1
ORD-00186,2026-09-07,lunch,app,1,0,,0.44,2.73,0.3,3.46,1
ORD-00187,2026-09-07,lunch,counter,4,0,,0.91,3.17,0.8,4.89,1
ORD-00188,2026-09-07,lunch,counter,4,0,,0.83,6.07,1.5,8.4,1
ORD-00189,2026-09-07,lunch,app,2,0,,1.45,11.53,1.62,14.6,0
ORD-00190,2026-09-07,lunch,app,4,0,,0.64,4.49,0.56,5.69,1
ORD-00191,2026-09-07,lunch,app,2,0,,0.68,9.22,3.29,13.19,0
ORD-00192,2026-09-07,lunch,counter,4,0,,1.04,8.19,0.66,9.89,1
ORD-00193,2026-09-07,lunch,app,2,0,,1.73,6.58,2.48,10.79,1
ORD-00194,2026-09-07,lunch,app,2,0,,0.38,9.41,1.53,11.31,1
ORD-00195,2026-09-07,lunch,app,2,0,,0.7,9.02,0.76,10.48,1
ORD-00196,2026-09-07,lunch,counter,4,0,,0.96,7.56,2.45,10.96,1
ORD-00197,2026-09-07,lunch,app,3,0,,1.54,5.06,1.77,8.38,1
ORD-00198,2026-09-07,lunch,counter,1,0,,1.17,9.6,2.77,13.53,0
ORD-00199,2026-09-07,lunch,counter,4,0,kitchen_rework,0.61,19.56,1.56,21.73,0
ORD-00200,2026-09-07,lunch,app,4,0,,1.77,12.27,2.16,16.2,0
ORD-00201,2026-09-07,lunch,counter,2,0,,0.93,9.74,3.51,14.18,0
ORD-00202,2026-09-07,lunch,app,3,0,,0.29,7.44,0.38,8.11,1
ORD-00203,2026-09-07,lunch,app,2,0,,1.05,8.19,2.39,11.62,1
ORD-00204,2026-09-07,lunch,app,2,0,,0.44,3.92,1.11,5.48,1
ORD-00205,2026-09-07,lunch,app,4,0,,0.76,8.29,2.12,11.17,1
ORD-00206,2026-09-07,lunch,app,2,0,kitchen_rework,0.58,8.81,0.82,10.2,1
ORD-00207,2026-09-07,lunch,counter,2,0,,0.81,5.71,0.3,6.82,1
ORD-00208,2026-09-07,lunch,app,3,0,,1.88,9.08,2.92,13.89,0
ORD-00209,2026-09-07,lunch,app,1,0,stockout,1.39,13.52,1.42,16.33,0
ORD-00210,2026-09-07,lunch,app,3,0,,0.49,4.29,0.3,5.08,1
ORD-00211,2026-09-07,dinner,counter,2,0,,0.5,5.46,1.9,7.85,1
ORD-00212,2026-09-07,dinner,counter,2,0,payment,0.71,13.21,1.96,15.88,0
ORD-00213,2026-09-07,dinner,counter,3,0,,0.55,8.77,3.68,13.01,0
ORD-00214,2026-09-07,dinner,counter,2,0,,0.6,5.19,2.04,7.83,1
ORD-00215,2026-09-07,dinner,app,1,0,,0.95,4.67,2.41,8.03,1
ORD-00216,2026-09-07,dinner,app,1,0,,1.11,13.22,0.77,15.11,0
ORD-00217,2026-09-07,dinner,counter,1,0,,1.09,8.52,2.36,11.98,1
ORD-00218,2026-09-07,dinner,counter,2,0,,1.16,10.15,0.42,11.73,1
ORD-00219,2026-09-07,dinner,counter,4,0,,0.57,16.17,2.73,19.48,0
ORD-00220,2026-09-07,dinner,app,3,0,,1.3,10.06,1.9,13.26,0
ORD-00221,2026-09-07,dinner,counter,1,0,,2.05,10.84,3.04,15.93,0
ORD-00222,2026-09-07,dinner,app,3,0,,0.96,13.8,0.88,15.64,0
ORD-00223,2026-09-07,dinner,app,2,0,,1.15,2.21,1.87,5.24,1
ORD-00224,2026-09-07,dinner,app,1,0,,1.37,11.45,1.05,13.88,0
ORD-00225,2026-09-07,dinner,counter,4,0,,1.43,10.07,0.3,11.8,1
ORD-00226,2026-09-07,dinner,counter,2,0,,1.61,9.74,2.09,13.44,0
ORD-00227,2026-09-07,dinner,counter,1,0,,0.22,7.64,2.06,9.92,1
ORD-00228,2026-09-07,dinner,counter,2,0,kitchen_rework,1.23,20.33,1.41,22.96,0
ORD-00229,2026-09-07,dinner,counter,4,0,,0.91,6.04,0.84,7.79,1
ORD-00230,2026-09-07,dinner,counter,4,0,,1.52,14.04,3.3,18.86,0
ORD-00231,2026-09-07,dinner,app,4,0,,0.87,9.9,1.7,12.47,0
ORD-00232,2026-09-07,dinner,counter,3,0,,0.54,8.71,2.53,11.78,1
ORD-00233,2026-09-07,dinner,app,1,0,,1.86,8.83,1.62,12.31,0
ORD-00234,2026-09-07,dinner,counter,4,0,,1.48,15.76,2.53,19.77,0
ORD-00235,2026-09-07,dinner,app,2,0,,0.44,2.0,1.32,3.76,1
ORD-00236,2026-09-07,dinner,counter,3,0,payment,1.29,12.43,4.48,18.21,0
ORD-00237,2026-09-07,dinner,app,4,0,kitchen_rework,0.64,22.99,0.48,24.11,0
ORD-00238,2026-09-07,dinner,app,1,0,,0.37,7.23,0.3,7.9,1
ORD-00239,2026-09-07,dinner,app,2,0,,0.73,8.44,1.59,10.76,1
ORD-00240,2026-09-07,dinner,app,2,0,kitchen_rework,1.2,13.87,1.57,16.64,0
ORD-00241,2026-09-07,dinner,app,4,0,,0.93,4.2,0.3,5.43,1
ORD-00242,2026-09-07,dinner,app,3,0,,1.09,12.67,1.69,15.45,0
ORD-00243,2026-09-07,dinner,counter,4,0,,1.14,6.46,1.19,8.8,1
ORD-00244,2026-09-07,dinner,counter,3,1,,1.47,9.55,,,
ORD-00245,2026-09-07,dinner,counter,2,1,,0.53,8.06,,,
ORD-00246,2026-09-07,dinner,app,3,0,,1.49,7.98,1.76,11.23,1
ORD-00247,2026-09-07,dinner,counter,2,0,,0.2,8.13,1.12,9.45,1
ORD-00248,2026-09-07,dinner,counter,1,0,,1.17,10.07,2.08,13.32,0
ORD-00249,2026-09-07,dinner,app,3,0,,1.47,3.57,1.64,6.69,1
ORD-00250,2026-09-07,dinner,counter,2,0,,1.12,8.07,1.37,10.56,1
ORD-00251,2026-09-07,dinner,counter,3,0,,0.63,2.0,0.68,3.31,1
ORD-00252,2026-09-07,dinner,counter,4,0,,1.66,12.63,2.14,16.43,0
ORD-00253,2026-09-07,dinner,counter,4,0,,0.6,5.01,2.7,8.31,1
ORD-00254,2026-09-07,dinner,counter,4,0,,1.41,13.66,0.76,15.82,0
ORD-00255,2026-09-07,dinner,app,1,0,,0.41,6.37,1.22,8.01,1
ORD-00256,2026-09-07,dinner,counter,4,0,,0.81,8.6,1.23,10.64,1
ORD-00257,2026-09-07,dinner,app,1,0,payment,1.49,9.4,1.95,12.83,0
ORD-00258,2026-09-07,dinner,app,3,0,,1.5,9.26,2.45,13.21,0
ORD-00259,2026-09-07,dinner,app,2,0,,1.62,11.61,1.02,14.25,0
ORD-00260,2026-09-07,dinner,app,4,0,,0.26,10.26,0.3,10.82,1
ORD-00261,2026-09-07,dinner,app,4,0,,0.54,10.12,0.83,11.48,1
ORD-00262,2026-09-07,dinner,counter,3,0,,0.89,2.92,0.82,4.64,1
ORD-00263,2026-09-07,dinner,app,3,0,payment,0.64,7.0,1.12,8.75,1
ORD-00264,2026-09-07,dinner,app,4,0,,0.81,7.19,1.77,9.77,1
ORD-00265,2026-09-07,dinner,app,2,0,,1.11,14.81,2.38,18.3,0
ORD-00266,2026-09-07,dinner,counter,1,0,,0.65,9.28,1.56,11.49,1
ORD-00267,2026-09-07,dinner,counter,4,0,,0.89,10.0,0.3,11.19,1
ORD-00268,2026-09-07,dinner,app,4,0,,0.91,10.46,1.98,13.34,0
ORD-00269,2026-09-07,dinner,counter,1,0,,1.25,10.8,0.98,13.03,0
ORD-00270,2026-09-07,dinner,counter,2,0,,0.98,10.48,2.75,14.22,0
ORD-00271,2026-09-07,dinner,counter,4,0,,1.35,5.14,1.29,7.78,1
ORD-00272,2026-09-07,dinner,counter,4,0,,1.06,14.41,1.8,17.27,0
ORD-00273,2026-09-07,dinner,app,2,0,,1.6,13.6,3.13,18.33,0
ORD-00274,2026-09-07,dinner,app,3,0,,1.16,7.46,0.3,8.93,1
ORD-00275,2026-09-07,dinner,counter,4,0,,1.26,2.41,1.52,5.19,1
ORD-00276,2026-09-07,dinner,counter,2,0,,0.87,8.82,0.3,9.99,1
ORD-00277,2026-09-07,dinner,counter,1,0,,0.8,14.23,1.84,16.87,0
ORD-00278,2026-09-07,dinner,counter,1,0,,1.15,13.89,2.6,17.64,0
ORD-00279,2026-09-07,dinner,app,4,0,,0.3,5.52,1.96,7.77,1
ORD-00280,2026-09-07,dinner,counter,1,0,,0.59,6.28,1.52,8.39,1
ORD-00281,2026-09-07,dinner,app,1,0,,1.26,9.75,0.67,11.68,1
ORD-00282,2026-09-07,dinner,app,3,0,,0.84,2.82,1.53,5.2,1
ORD-00283,2026-09-07,dinner,app,4,0,,0.64,9.15,1.98,11.77,1
ORD-00284,2026-09-07,dinner,app,2,0,,0.9,7.46,1.14,9.49,1
ORD-00285,2026-09-07,dinner,counter,1,1,,0.65,4.43,,,
ORD-00286,2026-09-07,dinner,counter,2,0,,1.37,8.63,2.77,12.77,0
ORD-00287,2026-09-07,dinner,counter,3,0,,0.81,4.01,1.01,5.83,1
ORD-00288,2026-09-07,dinner,app,3,0,,0.86,7.07,1.42,9.36,1
ORD-00289,2026-09-07,dinner,counter,4,0,,1.02,10.15,3.28,14.44,0
ORD-00290,2026-09-07,dinner,counter,4,0,,1.18,4.39,0.9,6.48,1
ORD-00291,2026-09-07,dinner,app,3,0,kitchen_rework,0.93,19.13,1.84,21.9,0
ORD-00292,2026-09-07,dinner,counter,3,0,,0.24,11.71,0.3,12.25,0
ORD-00293,2026-09-07,dinner,counter,4,0,,1.32,2.0,1.14,4.46,1
ORD-00294,2026-09-07,dinner,app,1,0,,0.72,6.68,1.62,9.02,1
ORD-00295,2026-09-07,dinner,app,2,0,,1.34,7.25,1.02,9.6,1
ORD-00296,2026-09-07,dinner,counter,1,0,,1.35,10.54,2.23,14.11,0
ORD-00297,2026-09-07,dinner,app,2,0,,1.13,5.95,0.77,7.85,1
ORD-00298,2026-09-07,dinner,counter,4,0,,1.47,3.21,0.54,5.22,1
ORD-00299,2026-09-07,dinner,counter,4,0,,1.47,12.4,2.42,16.29,0
ORD-00300,2026-09-07,dinner,counter,2,0,,1.57,6.04,0.92,8.52,1
ORD-00301,2026-09-07,dinner,app,2,0,,0.2,3.2,1.33,4.72,1
ORD-00302,2026-09-07,dinner,counter,4,0,,0.51,11.41,0.99,12.91,0
ORD-00303,2026-09-07,dinner,counter,4,0,,1.23,10.15,2.27,13.65,0
ORD-00304,2026-09-07,dinner,counter,4,0,,1.94,9.23,2.55,13.73,0
ORD-00305,2026-09-07,dinner,app,2,0,,0.52,7.67,1.29,9.48,1
ORD-00306,2026-09-07,dinner,app,4,0,kitchen_rework,0.57,14.56,3.09,18.22,0
ORD-00307,2026-09-07,dinner,counter,1,0,,0.94,7.48,1.66,10.08,1
ORD-00308,2026-09-07,dinner,app,1,0,,0.2,5.61,2.07,7.88,1
ORD-00309,2026-09-07,dinner,counter,3,0,,0.64,7.83,1.76,10.22,1
ORD-00310,2026-09-07,dinner,counter,1,0,,2.09,7.82,0.67,10.58,1
ORD-00311,2026-09-07,dinner,counter,3,0,,0.61,11.03,2.43,14.07,0
ORD-00312,2026-09-07,dinner,app,3,0,,1.29,19.19,2.34,22.82,0
ORD-00313,2026-09-07,dinner,app,1,0,,1.09,5.22,0.79,7.11,1
ORD-00314,2026-09-07,dinner,app,3,0,,1.02,10.63,4.16,15.81,0
ORD-00315,2026-09-07,dinner,app,2,0,,1.52,13.03,0.3,14.85,0
