order_id,order_ts,accepted_ts,ready_ts,handover_ts,shift,channel,item_count,cancelled,issue_code
ORD-00036,2026-09-07T09:17:11,2026-09-07T09:18:58.805007,2026-09-07T09:26:10.652311,2026-09-07T09:28:46.290379,breakfast,counter,2,false,
ORD-00037,2026-09-07T09:24:36,2026-09-07T09:26:12.754661,2026-09-07T09:36:53.506995,2026-09-07T09:39:24.950097,breakfast,counter,1,false,
ORD-00038,2026-09-07T09:27:07,2026-09-07T09:28:14.787281,2026-09-07T09:35:29.821561,2026-09-07T09:36:59.471392,breakfast,app,2,false,
ORD-00039,2026-09-07T08:36:57,2026-09-07T08:38:44.532300,2026-09-07T08:49:54.297121,,breakfast,counter,1,true,
ORD-00040,2026-09-07T08:59:13,2026-09-07T09:00:40.556120,2026-09-07T09:09:58.187998,2026-09-07T09:12:37.984670,breakfast,counter,3,false,
ORD-00041,2026-09-07T08:44:15,2026-09-07T08:45:26.748070,2026-09-07T08:57:01.222013,2026-09-07T08:58:45.538405,breakfast,app,2,false,
ORD-00042,2026-09-07T08:32:34,2026-09-07T08:33:01.334526,2026-09-07T08:47:48.786529,2026-09-07T08:48:20.721739,breakfast,app,2,false,
ORD-00043,2026-09-07T08:14:24,2026-09-07T08:14:49.067412,2026-09-07T08:24:33.704552,2026-09-07T08:24:51.704552,breakfast,counter,1,false,
ORD-00044,2026-09-07T09:53:22,2026-09-07T09:54:34.071705,2026-09-07T09:59:36.166062,2026-09-07T09:59:54.166062,breakfast,counter,3,false,
ORD-00045,2026-09-07T09:40:23,2026-09-07T09:41:24.230502,2026-09-07T09:52:23.847924,2026-09-07T09:53:31.224346,breakfast,app,2,false,
ORD-00046,2026-09-07T08:41:45,2026-09-07T08:42:19.598012,2026-09-07T08:57:19.982560,2026-09-07T09:00:02.329039,breakfast,counter,1,false,kitchen_rework
ORD-00047,2026-09-07T09:46:27,2026-09-07T09:47:11.422718,2026-09-07T09:56:13.876788,,breakfast,app,2,true,
ORD-00048,2026-09-07T08:43:36,2026-09-07T08:45:35.107090,2026-09-07T08:51:52.407338,2026-09-07T08:53:07.472288,breakfast,counter,4,false,
ORD-00049,2026-09-07T09:07:34,2026-09-07T09:09:20.814800,2026-09-07T09:23:57.099547,,breakfast,app,2,true,
ORD-00050,2026-09-07T08:53:15,2026-09-07T08:54:18.404633,2026-09-07T09:08:09.495453,2026-09-07T09:11:02.102742,breakfast,app,4,false,
ORD-00051,2026-09-07T08:50:45,2026-09-07T08:51:28.347614,2026-09-07T09:06:50.726608,2026-09-07T09:08:52.237796,breakfast,counter,2,false,
ORD-00052,2026-09-07T08:45:21,2026-09-07T08:46:17.603991,2026-09-07T08:55:15.034348,2026-09-07T08:57:04.878356,breakfast,app,1,false,
ORD-00053,2026-09-07T09:59:54,2026-09-07T10:00:49.537728,2026-09-07T10:09:22.822372,2026-09-07T10:11:04.504455,breakfast,app,1,false,
ORD-00054,2026-09-07T08:20:48,2026-09-07T08:21:32.287201,2026-09-07T08:28:03.622622,2026-09-07T08:30:09.157812,breakfast,counter,1,false,
ORD-00055,2026-09-07T08:05:49,2026-09-07T08:06:36.637595,2026-09-07T08:11:47.917053,2026-09-07T08:13:12.773919,breakfast,counter,2,false,
ORD-00056,2026-09-07T08:28:19,2026-09-07T08:29:03.959502,2026-09-07T08:35:02.288285,2026-09-07T08:36:48.287598,breakfast,app,2,false,
ORD-00057,2026-09-07T08:57:00,2026-09-07T08:58:38.074311,2026-09-07T09:06:42.195915,2026-09-07T09:09:43.246835,breakfast,counter,3,false,
ORD-00058,2026-09-07T09:26:04,2026-09-07T09:27:47.222752,2026-09-07T09:37:57.089293,2026-09-07T09:40:28.454654,breakfast,app,4,false,
ORD-00059,2026-09-07T08:46:16,2026-09-07T08:47:24.479995,2026-09-07T08:59:50.907383,2026-09-07T09:01:29.234966,breakfast,app,3,false,
ORD-00060,2026-09-07T08:32:46,2026-09-07T08:34:16.770763,2026-09-07T08:48:28.434565,2026-09-07T08:51:03.625966,breakfast,counter,2,false,
ORD-00061,2026-09-07T08:29:10,2026-09-07T08:29:57.846560,2026-09-07T08:36:15.215243,2026-09-07T08:37:36.167561,breakfast,app,2,false,
ORD-00062,2026-09-07T08:03:26,2026-09-07T08:03:41.407585,2026-09-07T08:11:24.796270,2026-09-07T08:13:43.520888,breakfast,app,1,false,
ORD-00063,2026-09-07T08:58:06,2026-09-07T09:00:17.256622,2026-09-07T09:11:26.206501,2026-09-07T09:15:08.809402,breakfast,app,4,false,
ORD-00064,2026-09-07T08:07:34,2026-09-07T08:08:20.496733,2026-09-07T08:16:13.239062,2026-09-07T08:17:01.861399,breakfast,counter,3,false,
ORD-00065,2026-09-07T09:19:34,2026-09-07T09:21:36.771526,2026-09-07T09:30:57.775946,2026-09-07T09:31:58.772247,breakfast,counter,4,false,
ORD-00066,2026-09-07T08:26:45,2026-09-07T08:27:29.035276,2026-09-07T08:37:32.081940,2026-09-07T08:39:23.229726,breakfast,counter,4,false,
ORD-00067,2026-09-07T08:42:06,2026-09-07T08:43:38.704128,2026-09-07T08:54:54.769889,2026-09-07T08:56:58.220529,breakfast,counter,3,false,
ORD-00068,2026-09-07T08:21:18,2026-09-07T08:21:43.285646,2026-09-07T08:42:04.702744,2026-09-07T08:42:45.143861,breakfast,counter,1,false,kitchen_rework
ORD-00069,2026-09-07T09:43:10,2026-09-07T09:44:19.391763,2026-09-07T09:50:26.199471,2026-09-07T09:53:13.011010,breakfast,counter,4,false,stockout
ORD-00070,2026-09-07T08:09:26,2026-09-07T08:09:56.645711,2026-09-07T08:16:29.272886,2026-09-07T08:17:25.094900,breakfast,app,1,false,
ORD-00071,2026-09-07T08:07:59,2026-09-07T08:08:22.835898,2026-09-07T08:16:01.867508,2026-09-07T08:18:43.577165,breakfast,counter,4,false,
ORD-00072,2026-09-07T09:51:37,2026-09-07T09:52:44.820701,2026-09-07T10:00:40.394051,2026-09-07T10:00:58.394051,breakfast,counter,1,false,
ORD-00073,2026-09-07T09:14:08,2026-09-07T09:16:35.100756,2026-09-07T09:20:22.822107,2026-09-07T09:22:26.968474,breakfast,app,2,false,
ORD-00074,2026-09-07T09:34:22,2026-09-07T09:35:53.651983,2026-09-07T09:40:45.096552,2026-09-07T09:42:25.751141,breakfast,counter,1,false,
ORD-00075,2026-09-07T09:03:43,2026-09-07T09:05:28.131838,2026-09-07T09:18:54.253202,2026-09-07T09:19:51.173022,breakfast,counter,3,false,
ORD-00076,2026-09-07T08:51:54,2026-09-07T08:52:51.606552,2026-09-07T09:09:28.972506,2026-09-07T09:12:29.799763,breakfast,counter,3,false,
ORD-00077,2026-09-07T09:55:01,2026-09-07T09:55:25.519392,2026-09-07T10:07:10.148650,2026-09-07T10:08:33.584917,breakfast,app,2,false,
ORD-00078,2026-09-07T09:55:29,2026-09-07T09:56:17.707638,2026-09-07T10:00:53.635287,2026-09-07T10:02:17.185872,breakfast,app,1,false,
ORD-00079,2026-09-07T09:54:08,2026-09-07T09:54:30.522413,2026-09-07T10:00:29.109143,2026-09-07T10:02:26.796665,breakfast,app,1,false,
ORD-00080,2026-09-07T09:34:15,2026-09-07T09:35:08.510387,2026-09-07T09:46:13.243372,2026-09-07T09:47:02.930447,breakfast,counter,1,false,
ORD-00081,2026-09-07T08:53:49,2026-09-07T08:55:19.470530,2026-09-07T09:09:22.046481,2026-09-07T09:11:50.494761,breakfast,app,1,false,
ORD-00082,2026-09-07T09:52:36,2026-09-07T09:53:58.113783,2026-09-07T10:04:59.092281,2026-09-07T10:05:21.060079,breakfast,counter,1,false,stockout
ORD-00083,2026-09-07T08:11:47,2026-09-07T08:12:13.966081,2026-09-07T08:23:50.208518,2026-09-07T08:25:40.892046,breakfast,app,3,false,
ORD-00084,2026-09-07T09:02:00,2026-09-07T09:02:32.701179,2026-09-07T09:06:28.446093,2026-09-07T09:10:11.347157,breakfast,app,4,false,
ORD-00085,2026-09-07T09:30:47,2026-09-07T09:31:36.685149,2026-09-07T09:54:33.662648,2026-09-07T09:56:47.046102,breakfast,app,1,false,kitchen_rework
ORD-00086,2026-09-07T13:41:16,2026-09-07T13:41:45.874876,2026-09-07T13:46:30.041105,2026-09-07T13:47:19.898733,lunch,counter,3,false,payment
ORD-00087,2026-09-07T12:07:37,2026-09-07T12:08:19.809088,2026-09-07T12:18:12.379124,2026-09-07T12:20:07.613108,lunch,counter,2,false,
ORD-00088,2026-09-07T13:14:58,2026-09-07T13:17:00.362287,2026-09-07T13:25:48.606759,2026-09-07T13:29:12.986437,lunch,app,2,false,
ORD-00089,2026-09-07T13:46:15,2026-09-07T13:47:36.992127,2026-09-07T13:59:03.523401,2026-09-07T14:00:28.600072,lunch,app,1,false,
ORD-00090,2026-09-07T13:45:07,2026-09-07T13:45:34.648076,2026-09-07T13:53:02.913990,2026-09-07T13:54:04.830595,lunch,counter,4,false,
ORD-00091,2026-09-07T13:54:29,2026-09-07T13:55:07.758107,2026-09-07T14:08:46.990985,2026-09-07T14:09:04.990985,lunch,app,3,false,kitchen_rework
ORD-00092,2026-09-07T12:50:12,2026-09-07T12:51:34.298809,2026-09-07T13:03:31.484137,2026-09-07T13:06:03.829568,lunch,counter,3,false,
ORD-00093,2026-09-07T12:07:58,2026-09-07T12:09:04.941932,2026-09-07T12:15:57.958563,2026-09-07T12:17:37.935675,lunch,counter,1,false,
ORD-00094,2026-09-07T13:01:35,2026-09-07T13:03:06.275202,2026-09-07T13:10:56.093296,2026-09-07T13:12:36.576277,lunch,app,4,false,
ORD-00095,2026-09-07T13:39:47,2026-09-07T13:40:39.562122,2026-09-07T13:45:25.142693,2026-09-07T13:46:17.728789,lunch,app,4,false,
ORD-00096,2026-09-07T13:12:49,2026-09-07T13:14:22.962207,2026-09-07T13:27:09.512735,2026-09-07T13:28:41.071663,lunch,app,4,false,stockout
ORD-00097,2026-09-07T13:19:50,2026-09-07T13:21:04.009526,2026-09-07T13:30:15.546296,2026-09-07T13:32:55.998654,lunch,counter,1,false,
ORD-00098,2026-09-07T13:57:14,2026-09-07T13:58:01.895271,2026-09-07T14:00:24.502062,2026-09-07T14:03:23.127519,lunch,counter,3,false,
ORD-00099,2026-09-07T12:58:24,2026-09-07T12:59:28.020137,2026-09-07T13:03:55.466318,2026-09-07T13:06:58.216431,lunch,app,4,false,
ORD-00100,2026-09-07T12:22:29,2026-09-07T12:23:24.987859,2026-09-07T12:25:26.209340,2026-09-07T12:25:58.795483,lunch,counter,3,false,
ORD-00101,2026-09-07T13:53:36,2026-09-07T13:54:08.043285,2026-09-07T14:01:36.390302,2026-09-07T14:03:22.130468,lunch,counter,3,false,
ORD-00102,2026-09-07T12:27:36,2026-09-07T12:28:29.475029,2026-09-07T12:38:08.322600,2026-09-07T12:38:39.243353,lunch,counter,1,false,
ORD-00103,2026-09-07T12:27:17,2026-09-07T12:28:18.640653,2026-09-07T12:35:19.984745,2026-09-07T12:36:26.241358,lunch,app,3,false,
ORD-00104,2026-09-07T12:55:41,2026-09-07T12:56:32.713844,2026-09-07T13:06:22.742566,2026-09-07T13:09:58.005911,lunch,counter,2,false,
ORD-00105,2026-09-07T12:13:30,2026-09-07T12:14:06.083722,2026-09-07T12:17:55.798998,2026-09-07T12:19:13.347525,lunch,counter,4,false,stockout
ORD-00106,2026-09-07T14:19:14,2026-09-07T14:19:34.560505,2026-09-07T14:22:56.799700,2026-09-07T14:23:14.799700,lunch,app,1,false,
ORD-00107,2026-09-07T13:07:06,2026-09-07T13:09:02.898471,2026-09-07T13:17:46.083801,2026-09-07T13:20:06.113794,lunch,app,4,false,
ORD-00108,2026-09-07T12:34:17,2026-09-07T12:35:23.164049,2026-09-07T12:44:39.176056,2026-09-07T12:46:46.852454,lunch,app,2,false,
ORD-00109,2026-09-07T14:26:39,2026-09-07T14:27:03.572346,2026-09-07T14:33:00.755179,2026-09-07T14:34:13.562200,lunch,counter,3,false,
ORD-00110,2026-09-07T12:56:39,2026-09-07T12:57:37.879589,2026-09-07T13:06:16.942045,2026-09-07T13:08:07.928354,lunch,app,1,false,
ORD-00111,2026-09-07T13:23:41,2026-09-07T13:24:45.718041,2026-09-07T13:36:31.163457,2026-09-07T13:39:40.562069,lunch,app,3,false,
ORD-00112,2026-09-07T14:07:11,2026-09-07T14:08:45.599602,2026-09-07T14:15:37.794219,2026-09-07T14:15:55.794219,lunch,app,1,false,
ORD-00113,2026-09-07T13:20:32,2026-09-07T13:22:15.860135,2026-09-07T13:33:50.409199,2026-09-07T13:36:26.352533,lunch,counter,1,false,
ORD-00114,2026-09-07T13:29:56,2026-09-07T13:31:32.371226,2026-09-07T13:42:29.493565,2026-09-07T13:45:57.511055,lunch,app,2,false,
ORD-00115,2026-09-07T13:58:13,2026-09-07T13:58:56.418524,2026-09-07T14:03:16.912375,2026-09-07T14:05:04.438664,lunch,app,3,false,
ORD-00116,2026-09-07T13:49:46,2026-09-07T13:49:58,2026-09-07T13:59:54.282906,2026-09-07T14:02:25.341646,lunch,app,3,false,
ORD-00117,2026-09-07T12:08:57,2026-09-07T12:10:05.276880,2026-09-07T12:17:06.664948,2026-09-07T12:18:17.226213,lunch,app,3,false,
ORD-00118,2026-09-07T13:00:05,2026-09-07T13:01:26.484158,2026-09-07T13:10:06.501626,2026-09-07T13:13:39.462161,lunch,counter,1,false,
ORD-00119,2026-09-07T13:14:11,2026-09-07T13:15:28.652191,2026-09-07T13:21:08.344062,2026-09-07T13:23:15.223072,lunch,app,2,false,
ORD-00120,2026-09-07T13:30:39,2026-09-07T13:32:18.541711,2026-09-07T13:38:50.272495,2026-09-07T13:40:56.110014,lunch,app,2,false,
ORD-00121,2026-09-07T13:37:59,2026-09-07T13:39:27.425259,2026-09-07T13:41:44.647720,2026-09-07T13:42:45.059046,lunch,counter,2,false,
ORD-00122,2026-09-07T12:56:18,2026-09-07T12:57:34.857914,2026-09-07T13:10:32.766931,2026-09-07T13:12:55.075642,lunch,app,2,false,
ORD-00123,2026-09-07T13:30:29,2026-09-07T13:30:47.376657,2026-09-07T13:42:50.157106,2026-09-07T13:45:22.775242,lunch,counter,4,false,
ORD-00124,2026-09-07T13:42:20,2026-09-07T13:43:02.282817,2026-09-07T13:48:24.292892,2026-09-07T13:49:49.534218,lunch,counter,2,false,
ORD-00125,2026-09-07T13:25:25,2026-09-07T13:26:39.820800,2026-09-07T13:37:19.414033,2026-09-07T13:39:00.128391,lunch,app,4,false,
ORD-00126,2026-09-07T14:14:28,2026-09-07T14:15:14.821335,2026-09-07T14:23:30.567102,2026-09-07T14:25:15.227990,lunch,counter,3,false,
ORD-00127,2026-09-07T14:13:18,2026-09-07T14:14:14.526045,2026-09-07T14:20:57.293408,2026-09-07T14:21:42.782026,lunch,counter,2,false,
ORD-00128,2026-09-07T13:54:25,2026-09-07T13:55:47.999581,2026-09-07T14:05:12.579964,2026-09-07T14:05:53.191272,lunch,counter,4,false,
ORD-00129,2026-09-07T14:13:40,2026-09-07T14:14:17.176829,2026-09-07T14:22:52.710090,2026-09-07T14:24:55.992140,lunch,counter,1,false,
ORD-00130,2026-09-07T12:24:12,2026-09-07T12:25:08.932649,2026-09-07T12:34:12.246932,2026-09-07T12:36:10.435676,lunch,counter,3,false,
ORD-00131,2026-09-07T12:56:34,2026-09-07T12:58:13.883098,2026-09-07T13:07:43.240177,2026-09-07T13:08:58.199782,lunch,counter,2,false,
ORD-00132,2026-09-07T13:35:04,2026-09-07T13:36:34.110931,2026-09-07T13:42:43.567260,2026-09-07T13:43:56.740871,lunch,app,1,false,
ORD-00133,2026-09-07T13:29:45,2026-09-07T13:30:46.433204,2026-09-07T13:41:52.673432,2026-09-07T13:44:13.886995,lunch,counter,4,false,
ORD-00134,2026-09-07T12:02:14,2026-09-07T12:03:03.320671,2026-09-07T12:13:30.054065,2026-09-07T12:14:50.839668,lunch,app,4,false,
ORD-00135,2026-09-07T13:44:05,2026-09-07T13:44:18.770661,2026-09-07T13:50:42.951452,2026-09-07T13:52:21.089981,lunch,counter,3,false,
ORD-00136,2026-09-07T12:40:59,2026-09-07T12:42:48.017459,2026-09-07T12:53:45.299128,2026-09-07T12:55:37.962439,lunch,app,4,false,
ORD-00137,2026-09-07T13:05:10,2026-09-07T13:05:59.844626,2026-09-07T13:19:44.416126,2026-09-07T13:22:48.950227,lunch,counter,2,false,
ORD-00138,2026-09-07T13:00:58,2026-09-07T13:02:44.250212,2026-09-07T13:10:29.079796,2026-09-07T13:12:17.113675,lunch,app,2,false,
ORD-00139,2026-09-07T12:40:44,2026-09-07T12:42:49.479195,2026-09-07T12:52:41.013146,2026-09-07T12:52:59.013146,lunch,counter,2,false,
ORD-00140,2026-09-07T12:47:00,2026-09-07T12:48:45.069267,2026-09-07T12:56:26.265322,2026-09-07T12:57:59.972590,lunch,app,1,false,
ORD-00141,2026-09-07T13:55:25,2026-09-07T13:56:34.819837,2026-09-07T13:59:36.408159,2026-09-07T14:00:06.809265,lunch,counter,4,false,
ORD-00142,2026-09-07T12:33:51,2026-09-07T12:35:20.817854,2026-09-07T12:44:51.871766,2026-09-07T12:47:11.827676,lunch,counter,1,false,
ORD-00143,2026-09-07T13:37:43,2026-09-07T13:38:55.323172,2026-09-07T13:49:15.497810,2026-09-07T13:51:26.551106,lunch,counter,3,false,
ORD-00144,2026-09-07T12:42:05,2026-09-07T12:43:03.420762,2026-09-07T12:48:47.542925,2026-09-07T12:52:00.644473,lunch,counter,2,false,
ORD-00145,2026-09-07T12:59:33,2026-09-07T13:00:06.506524,2026-09-07T13:06:26.208181,2026-09-07T13:07:21.938008,lunch,app,2,false,
ORD-00146,2026-09-07T13:10:42,2026-09-07T13:12:32.084031,2026-09-07T13:23:11.954768,2026-09-07T13:25:27.001675,lunch,counter,1,false,
ORD-00147,2026-09-07T12:40:11,2026-09-07T12:41:48.878265,2026-09-07T12:52:08.617711,2026-09-07T12:54:02.143920,lunch,counter,1,false,stockout
ORD-00148,2026-09-07T12:07:36,2026-09-07T12:08:39.565908,2026-09-07T12:21:11.165896,2026-09-07T12:21:29.165896,lunch,counter,3,false,
ORD-00149,2026-09-07T12:19:59,2026-09-07T12:21:14.136689,2026-09-07T12:26:58.913770,2026-09-07T12:28:10.568675,lunch,counter,1,false,stockout
ORD-00150,2026-09-07T12:54:17,2026-09-07T12:55:47.681973,2026-09-07T13:04:55.074711,2026-09-07T13:07:52.106625,lunch,app,3,false,
ORD-00151,2026-09-07T14:03:52,2026-09-07T14:04:08.259697,2026-09-07T14:11:53.663820,2026-09-07T14:12:11.663820,lunch,counter,1,false,
ORD-00152,2026-09-07T13:18:58,2026-09-07T13:20:52.964615,2026-09-07T13:32:59.808254,2026-09-07T13:35:00.808331,lunch,counter,3,false,
ORD-00153,2026-09-07T13:36:41,2026-09-07T13:36:53,2026-09-07T13:45:59.527518,2026-09-07T13:48:13.454687,lunch,app,1,false,
ORD-00154,2026-09-07T13:52:48,2026-09-07T13:53:50.574241,2026-09-07T14:00:35.528804,2026-09-07T14:01:45.035774,lunch,app,2,false,
ORD-00155,2026-09-07T14:07:41,2026-09-07T14:08:14.005383,2026-09-07T14:17:38.836385,2026-09-07T14:19:48.868029,lunch,counter,1,false,
ORD-00156,2026-09-07T13:53:04,2026-09-07T13:53:16,2026-09-07T13:58:59.186932,2026-09-07T14:00:18.290441,lunch,counter,3,false,
ORD-00157,2026-09-07T14:13:17,2026-09-07T14:13:29,2026-09-07T14:18:48.270110,2026-09-07T14:21:06.383188,lunch,app,4,false,
ORD-00158,2026-09-07T12:22:50,2026-09-07T12:23:24.639482,2026-09-07T12:27:35.536230,2026-09-07T12:28:37.923283,lunch,app,1,false,
ORD-00159,2026-09-07T14:09:31,2026-09-07T14:10:23.787435,2026-09-07T14:20:16.414444,2026-09-07T14:21:12.023094,lunch,app,4,false,
ORD-00160,2026-09-07T13:17:52,2026-09-07T13:19:17.839295,2026-09-07T13:27:25.533852,2026-09-07T13:29:35.585734,lunch,app,1,false,
ORD-00161,2026-09-07T13:59:03,2026-09-07T14:00:20.541266,2026-09-07T14:04:04.594993,2026-09-07T14:04:23.949946,lunch,app,1,false,
ORD-00162,2026-09-07T13:58:01,2026-09-07T13:59:00.362264,2026-09-07T14:04:10.889292,2026-09-07T14:05:17.242038,lunch,counter,1,false,
ORD-00163,2026-09-07T14:28:50,2026-09-07T14:29:38.901385,2026-09-07T14:36:22.633735,2026-09-07T14:36:40.633735,lunch,counter,1,false,payment
ORD-00164,2026-09-07T13:57:28,2026-09-07T13:57:47.263285,2026-09-07T14:03:38.833779,2026-09-07T14:05:29.263155,lunch,counter,3,false,
ORD-00165,2026-09-07T12:53:09,2026-09-07T12:54:42.058290,2026-09-07T13:05:27.986664,2026-09-07T13:07:38.126871,lunch,counter,3,false,
ORD-00166,2026-09-07T12:27:34,2026-09-07T12:28:03.986757,2026-09-07T12:35:17.926572,2026-09-07T12:36:27.125944,lunch,app,3,false,
ORD-00167,2026-09-07T13:51:01,2026-09-07T13:51:49.751200,2026-09-07T14:00:15.932085,2026-09-07T14:02:10.590971,lunch,app,1,false,
ORD-00168,2026-09-07T14:08:13,2026-09-07T14:09:35.676367,2026-09-07T14:14:15.671217,2026-09-07T14:14:45.693678,lunch,counter,4,false,
ORD-00169,2026-09-07T13:49:06,2026-09-07T13:49:51.558550,2026-09-07T14:00:18.387808,2026-09-07T14:01:31.053909,lunch,app,2,false,
ORD-00170,2026-09-07T13:27:10,2026-09-07T13:28:40.120222,2026-09-07T13:38:06.178851,2026-09-07T13:41:11.392317,lunch,counter,4,false,
ORD-00171,2026-09-07T12:53:01,2026-09-07T12:54:05.908753,2026-09-07T12:58:14.616137,2026-09-07T12:59:02.615088,lunch,app,3,false,
ORD-00172,2026-09-07T12:34:09,2026-09-07T12:35:17.828587,2026-09-07T12:44:44.902052,2026-09-07T12:47:02.619298,lunch,counter,4,false,
ORD-00173,2026-09-07T14:12:07,2026-09-07T14:12:19,2026-09-07T14:20:32.922129,2026-09-07T14:21:19.844288,lunch,app,2,false,
